UF,Codigo SIAFI Municipio,Nome Municipio,Valor Parcela
BA,3849,SALVADOR,12400
PA,427,BELEM,12400
PB,2079,MAMANGUAPE,12400
PA,447,CASTANHAL,24100
MG,5029,PIUMHI,17200
SP,6361,COTIA,12400
SP,6713,MOGI DAS CRUZES,13100
BA,3833,RIBEIRA DO POMBAL,33300
AP,605,MACAPA,32900
SP,6549,ITAPEVA,16300
SP,7107,SAO PAULO,8700
PB,1975,CAJAZEIRAS,32500
BA,3965,VITORIA DA CONQUISTA,35100
CE,1369,CASCAVEL,17800
BA,3849,SALVADOR,7800
PB,2051,JOAO PESSOA,20200
SP,7047,SANTANA DE PARNAIBA,8500
MG,4387,CORONEL FABRICIANO,42600
PE,2531,RECIFE,15900
AP,605,MACAPA,12400
PA,465,IGARAPE-MIRI,3900
BA,3595,ITABERABA,17500
CE,1411,IGUATU,15500
PA,535,SANTAREM,12400
BA,3641,ITIUBA,16900
SC,8105,FLORIANOPOLIS,12400
BA,3669,JUAZEIRO,12400
AL,2733,CAPELA,20900
PA,595,PARAUAPEBAS,12400
PA,435,BREVES,17200
BA,3661,JEQUIE,17900
PB,2117,PATOS,17100
AM,255,MANAUS,12400
PA,509,PARAGOMINAS,9200
PE,2521,PETROLINA,12400
RS,8801,PORTO ALEGRE,16300
PR,7583,GUARAPUAVA,12400
SP,6543,ITANHAEM,32700
PA,493,MOJU,16300
RN,1759,MOSSORO,12400
RJ,5843,ITAPERUNA,8500
BA,3651,JACOBINA,14200
AL,2871,SAO MIGUEL DOS CAMPOS,8500
AM,255,MANAUS,16400
BA,3313,ALAGOINHAS,12400
SP,6547,ITAPETININGA,16300
PR,5451,ITAPERUCU,7800
RS,8595,CASCA,3900
TO,9385,GURUPI,8500
MG,4185,BURITIS,38700
PE,2419,GARANHUNS,65000
GO,9361,FORMOSA,19100
MG,4701,JANAUBA,20200
RJ,5839,ITAGUAI,20200
MS,9051,CAMPO GRANDE,20200
RJ,6001,RIO DE JANEIRO,8500
RS,8839,SANTA CRUZ DO SUL,17000
PR,7569,GOIO-ERE,16300
RJ,6001,RIO DE JANEIRO,16300
PI,1219,TERESINA,16300
PA,415,ANANINDEUA,20200
BA,3849,SALVADOR,12400
PE,2543,SALGUEIRO,13100
MG,5371,TEOFILO OTONI,7800
PR,7563,FOZ DO IGUACU,12400
ES,5625,CARIACICA,34200
SP,6713,MOGI DAS CRUZES,17100
PB,1987,CATOLE DO ROCHA,28100
BA,3993,TEIXEIRA DE FREITAS,8500
RJ,5813,CABO FRIO,42100
PR,7535,CURITIBA,24800
PE,2549,SANTA CRUZ DO CAPIBARIBE,8500
